q,CENSUS BLOCK,NUMBER OF LIQUOR LICENSES,NUMBER OF CRIMES,NUMBER OF ARRESTS
757,009XX W ROOSEVELT,1,75,8
758,009XX W WASHINGTON,6,230,23
786,010XX S STATE,13,393,135
801,010XX W FULTON,5,181,22
805,010XX W LAKE,15,267,52
811,010XX W RANDOLPH,7,130,15
842,011XX S CANAL,22,2241,544
843,011XX S CLARK,10,1259,709
844,011XX S CLINTON,6,67,10
845,011XX S COLUMBUS,2,82,44
846,011XX S JEFFERSON,20,271,106
847,011XX S MICHIGAN,23,654,135
848,011XX S WABASH,22,695,106
849,011XX S WESTERN,11,346,76
864,011XX W FULTON,1,152,8
867,011XX W JACKSON,4,591,227
868,011XX W LAKE,11,181,23
876,011XX W WASHINGTON,1,74,4
902,012XX S ASHLAND,23,2336,1325
903,012XX S HALSTED,16,194,22
905,012XX S MICHIGAN,19,955,114
906,012XX S PRAIRIE,2,143,14
908,012XX S STATE,3,623,121
919,012XX W LAKE,6,142,8
920,012XX W MADISON,4,193,19
923,012XX W TAYLOR,18,240,54
944,013XX S CANAL,15,1876,1400
949,013XX S MICHIGAN,21,520,81
950,013XX S PRAIRIE,5,132,12
952,013XX W 14TH,7,865,259
967,013XX W LAKE,24,401,47
977,013XX W WASHINGTON,3,296,19
1003,014XX S ASHLAND,5,409,118
1009,014XX S WABASH,3,313,25
1010,014XX S WESTERN,14,137,39
1029,014XX W MADISON,13,422,33
1064,015XX S MICHIGAN,8,236,32
1065,015XX S STATE,12,481,50
1066,015XX S WABASH,8,570,92
1085,015XX W FULTON,4,256,12
1088,015XX W MADISON,16,185,38
1091,015XX W RANDOLPH,8,76,13
1092,015XX W ROOSEVELT,2,447,224
1127,016XX S CLARK,7,178,103
1134,016XX S WABASH,4,135,18
1136,016XX W 16TH,1,40,7
1159,016XX W LAKE,1,621,171
1163,016XX W OGDEN,4,391,49
1164,016XX W TAYLOR,3,45,7
1165,016XX W WALNUT,14,309,213
1190,017XX S WENTWORTH,1,62,8
1209,017XX W HARRISON,14,659,174
1212,017XX W LAKE,3,271,35
1259,018XX W FULTON,9,118,20
1264,018XX W JACKSON,1,182,32
1271,018XX W WALNUT,4,44,4
