RestaurantName,Sentiment Labels,Review Rating
Auntie Anne's,Positive: 0.5 Negative: 0.5,4
Pret A Manger,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Subway,Positive: 0.0 Negative: 1.0,2
My Thai Restaurant On Michigan,Positive: 0.3 Negative: 0.7,3
Stefani's Tuscany Cafe,Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Fontano's Subs,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
La Cocina Mexican Grill,Positive: 0.7368421052631579 Negative: 0.2631578947368421,4
Symphony Center,Positive: 0.5 Negative: 0.5,5
Bombay Wraps,Positive: 0.6949152542372882 Negative: 0.3050847457627119,4
Rosebud Restaurent,Positive: 0.48 Negative: 0.52,4
Sixty Five Chinese Restaurant,Positive: 0.5 Negative: 0.5,4
McDonald's,Positive: 0.0 Negative: 1.0,3
Corner Bakery Cafe,Positive: 0.45454545454545453 Negative: 0.5454545454545454,3
Salad Spinners,Positive: 0.2857142857142857 Negative: 0.7142857142857143,4
Thai Spoon & Sushi,Positive: 0.0 Negative: 1.0,3
Madison Street Cafe,Positive: 0.5 Negative: 0.5,4
Jimmy John's,Positive: 0.0 Negative: 1.0,4
WingStop,Positive: 0.13333333333333333 Negative: 0.8666666666666667,3
Taco Fresco,Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Roti Mediterranean Grill,Positive: 0.72 Negative: 0.28,4
Dearborn Street Oyster Bar & Restaurant,Positive: 0.0 Negative: 1.0,3
Corner Bakery Cafe,Positive: 0.0 Negative: 1.0,3
Standing Room Only,Positive: 0.5909090909090909 Negative: 0.4090909090909091,4
Taco Fresco,Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
J. Randolph's Bar & Grill,Positive: 0.0 Negative: 1.0,3
Mercat a la Planxa,Positive: 0.7175675675675676 Negative: 0.28243243243243243,4
Pockets Restaurant,Positive: 0.0 Negative: 1.0,3
Panda Express,Positive: 0.5 Negative: 0.5,4
Little Branch Cafe,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
McDonald's,Positive: 0.2 Negative: 0.8,3
Zacatacos,Positive: 0.625 Negative: 0.375,4
Noodles & Company,Positive: 0.29411764705882354 Negative: 0.7058823529411765,3
Sopraffina Marketcaffe,Positive: 0.375 Negative: 0.625,4
Quizno's,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Kim & Carlos Hot Dog Stand,Positive: 0.9 Negative: 0.1,5
Aria,Positive: 0.5306122448979592 Negative: 0.46938775510204084,4
HomeMade Pizza Company,Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Curried Loop,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Plymouth Restaurant & Bar,Positive: 0.2727272727272727 Negative: 0.7272727272727273,3
Chipotle Mexican Grill,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Potbelly Sandwich Works,Positive: 0.5769230769230769 Negative: 0.4230769230769231,4
Amarit Thai Restaurant,Positive: 0.46 Negative: 0.54,3
Jamba Juice,Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Qdoba Mexican Grill,Positive: 0.6 Negative: 0.4,4
Harold's Chicken Shack,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Robinson's Ribs,Positive: 0.0 Negative: 1.0,3
Bar Louie,Positive: 0.46875 Negative: 0.53125,3
Great Street Restaurant,Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Tokyo Lunchbox,Positive: 0.0 Negative: 1.0,3
Goodwin's,Positive: 0.859375 Negative: 0.140625,4
Yang,Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Raw,Positive: 0.875 Negative: 0.125,5
Sopraffina Marketcaffe,Positive: 0.0 Negative: 1.0,4
Artist's Cafe,Positive: 0.13793103448275862 Negative: 0.8620689655172413,2
Delmonico Illinois Center,Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Taco Fresco,Positive: 0.0 Negative: 1.0,3
Corner Bakery Cafe,Positive: 0.0 Negative: 1.0,3
I Dream of Falafel,Positive: 0.5909090909090909 Negative: 0.4090909090909091,4
Mangino's,Positive: 0.6 Negative: 0.4,4
ROOF,Positive: 0.45794392523364486 Negative: 0.5420560747663551,3
Billy Goat Tavern & Grill,Positive: 0.3076923076923077 Negative: 0.6923076923076923,3
One North Kitchen & Bar,Positive: 0.3125 Negative: 0.6875,3
Midtown Kitchen + Bar,Positive: 0.4375 Negative: 0.5625,3
Tamarind,Positive: 0.5396825396825397 Negative: 0.4603174603174603,4
Sushi Sai,Positive: 0.6190476190476191 Negative: 0.38095238095238093,4
Under 55 Cafe,Positive: 0.4 Negative: 0.6,4
Pizza Hut Express and KFC,Positive: 0.5 Negative: 0.5,3
Pollitos Grill & Rotisserie,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Donna's Cafe,Positive: 0.75 Negative: 0.25,4
Exchequer Restaurant & Pub,Positive: 0.676923076923077 Negative: 0.3230769230769231,4
Jersey Mike's Subs,Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Old Timers Restaurant & Lounge,Positive: 0.45454545454545453 Negative: 0.5454545454545454,3
Alonti Deli,Positive: 0.0 Negative: 1.0,3
Salad Creations,Positive: 0.375 Negative: 0.625,4
Boston Blackies,Positive: 0.4722222222222222 Negative: 0.5277777777777778,3
Westminster Hot Dog,Positive: 0.6 Negative: 0.4,4
Siam Rice,Positive: 0.6428571428571429 Negative: 0.35714285714285715,4
Quiznos,Positive: 0.5 Negative: 0.5,3
Quizno's Subs,Positive: 0.0 Negative: 1.0,3
I Love Sushi,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Freshii,Positive: 0.55 Negative: 0.45,4
Jersey Mike's Subs,Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Ronny's III,Positive: 0.0 Negative: 1.0,3
Potbelly Sandwich Works,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Bowl Square,Positive: 0.8333333333333334 Negative: 0.16666666666666666,4
Fresh Choice,Positive: 0.16666666666666666 Negative: 0.8333333333333334,4
Chicago Sports Bar & Grill,Positive: 0.0 Negative: 1.0,3
Cyrano's Cafe On The River,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Monday's Restaurant,Positive: 0.5 Negative: 0.5,3
Orange on Harrison,Positive: 0.5365853658536586 Negative: 0.4634146341463415,4
Panera Bread,Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Ma & I,Positive: 0.5471698113207547 Negative: 0.4528301886792453,4
Nick & Tony's Italian Chop House,Positive: 0.25 Negative: 0.75,3
Jaffa Bakery,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Halsted Street Deli,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Cosi,Positive: 0.6 Negative: 0.4,4
La Strada Ristorante,Positive: 0.0 Negative: 1.0,4
Alonti Deli,Positive: 0.4 Negative: 0.6,3
Pompei Bakery,Positive: 0.0 Negative: 1.0,3
Halsted Street Deli,Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Subway,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Corner Bakery Cafe,Positive: 0.5 Negative: 0.5,3
Cosi Sandwich Bar,Positive: 0.0 Negative: 1.0,2
Plaza Market Bistro,Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Sbarro,Positive: 0.0 Negative: 1.0,3
Wok Out,Positive: 0.25 Negative: 0.75,3
Pita Heaven,Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Salad Spinners,Positive: 0.5 Negative: 0.5,3
Subway,Positive: 0.0 Negative: 1.0,2
Perry's,Positive: 0.8028169014084507 Negative: 0.19718309859154928,4
Utopia International Caribbean Cuisine,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Oriental Express,Positive: 0.2 Negative: 0.8,3
Mallers Deli,Positive: 0.0 Negative: 1.0,4
Maison Brasserie,Positive: 0.6 Negative: 0.4,4
The Grill Room Chophouse & Winebar,Positive: 0.25 Negative: 0.75,3
South Branch,Positive: 0.41379310344827586 Negative: 0.5862068965517241,4
Green Apple,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Jimmy John's,Positive: 0.75 Negative: 0.25,4
Haifa Cafe,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Gold Coast Dogs,Positive: 0.5 Negative: 0.5,4
Miller's Pub,Positive: 0.5212765957446809 Negative: 0.4787234042553192,4
Subway Sandwiches,Positive: 0.0 Negative: 1.0,2
Al's Beef,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Protein Bar,Positive: 0.7818181818181819 Negative: 0.21818181818181817,4
Taste of Siam Inc,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Gold Coast Dogs,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Pierogi Heaven,Positive: 0.7741935483870968 Negative: 0.22580645161290322,5
Catch 35,Positive: 0.6881720430107527 Negative: 0.3118279569892473,4
Works-North Loop the,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Au Bon Pain,Positive: 0.46153846153846156 Negative: 0.5384615384615384,3
Corner Bakery Cafe,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Rosie's Cafe & Catering,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Ceres Cafe,Positive: 0.68 Negative: 0.32,4
Einstein Bros. Bagels,Positive: 0.5 Negative: 0.5,4
Chicago River Cafe,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Halo Asian Mix,Positive: 0.75 Negative: 0.25,4
Ufood Grill,Positive: 0.16666666666666666 Negative: 0.8333333333333334,3
McDonald's,Positive: 0.125 Negative: 0.875,3
To Pho Cafe,Positive: 0.5 Negative: 0.5,4
Subway,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Taco Bell,Positive: 0.0 Negative: 1.0,2
University Club of Chicago,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Tapas Valencia,Positive: 0.6507936507936508 Negative: 0.3492063492063492,4
Specialty's Cafe & Bakery,Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Rivers To Go,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Fast Foo's,Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Wendy's,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Diosa on the River,Positive: 0.0 Negative: 1.0,4
Chutney Joe's,Positive: 0.43859649122807015 Negative: 0.5614035087719298,3
Chipotle Mexican Grill,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Lavazza Espression,Positive: 0.7837837837837838 Negative: 0.21621621621621623,4
Sweetwater Tavern & Grille,Positive: 0.4943820224719101 Negative: 0.5056179775280899,4
Market Creations,Positive: 0.5833333333333334 Negative: 0.4166666666666667,4
Tokyo Lunch Boxes & Catering,Positive: 0.26666666666666666 Negative: 0.7333333333333333,3
Mac Kelly's Greens & Things,Positive: 0.5 Negative: 0.5,4
Arturo Express,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Govnor's Pub,Positive: 0.5 Negative: 0.5,5
Soundings Restaurant,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Marc Burger,Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Ole Hardwood,Positive: 0.25 Negative: 0.75,3
Opera,Positive: 0.5662650602409639 Negative: 0.43373493975903615,4
Flat Top Stir-Fry Grill,Positive: 0.425 Negative: 0.575,4
Kaiyo Sushi,Positive: 0.2 Negative: 0.8,3
Subway,Positive: 0.0 Negative: 1.0,1
Grace O'Malley's,Positive: 0.2916666666666667 Negative: 0.7083333333333334,3
The BISTRO At 151,Positive: 0.0 Negative: 1.0,3
La Cantina,Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Frietkoten Belgian Fries & Beer,Positive: 0.7777777777777778 Negative: 0.2222222222222222,4
State and Lake Chicago Tavern,Positive: 0.375 Negative: 0.625,3
Great Steak & Potato Co.,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Roma Pizza,Positive: 0.0 Negative: 1.0,3
Pat's Pizzeria,Positive: 0.7352941176470589 Negative: 0.2647058823529412,4
Gina's Cuisine,Positive: 0.6 Negative: 0.4,4
Gold Coast Dogs,Positive: 0.4 Negative: 0.6,3
Silk Road,Positive: 0.46153846153846156 Negative: 0.5384615384615384,4
Corner Bakery Cafe,Positive: 0.5 Negative: 0.5,4
Luke's Italian Beef,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Marquette Inn Restaurant,Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Pret A Manger,Positive: 0.4666666666666667 Negative: 0.5333333333333333,4
Billy Goat Tavern & Grill,Positive: 0.125 Negative: 0.875,3
Caffe Baci,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
The Gage,Positive: 0.7648401826484018 Negative: 0.23515981735159816,4
65 Asian Kitchen,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Bonjour Cafe,Positive: 0.5 Negative: 0.5,4
Toni Patisserie & Cafe,Positive: 0.6086956521739131 Negative: 0.391304347826087,4
Sixty Five Chinese Restaurant,Positive: 0.1111111111111111 Negative: 0.8888888888888888,3
Chickadilly's Charhouse,Positive: 0.5 Negative: 0.5,4
Currents on the River,Positive: 0.5384615384615384 Negative: 0.46153846153846156,4
Cafe 100,Positive: 0.0 Negative: 1.0,4
Buddy Guy's Legends,Positive: 0.7941176470588235 Negative: 0.20588235294117646,4
Sbarro,Positive: 0.0 Negative: 1.0,3
Oasis Cafe,Positive: 0.75 Negative: 0.25,4
Seven Bar & Restaurant,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Pazzo's Cucina Italiana,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Rosebud Express,Positive: 0.5 Negative: 0.5,5
Urban Market,Positive: 0.0 Negative: 1.0,3
Pita Express,Positive: 0.4117647058823529 Negative: 0.5882352941176471,4
Subway,Positive: 0.5 Negative: 0.5,4
Dunkin' Donuts,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Solo 1530,Positive: 0.2 Negative: 0.8,2
South Water Kitchen,Positive: 0.4318181818181818 Negative: 0.5681818181818182,4
Cavanaugh's,Positive: 0.5 Negative: 0.5,4
Burrito Beach,Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Dairy Queen Grill & Chill Restraunt,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Jaffa Bakery,Positive: 0.5 Negative: 0.5,4
Salad Spinners,Positive: 0.375 Negative: 0.625,4
Blackie's,Positive: 0.5517241379310345 Negative: 0.4482758620689655,4
Freshii,Positive: 0.5 Negative: 0.5,3
Eleventh St Diner,Positive: 0.25 Negative: 0.75,3
Ada's Famous Deli,Positive: 0.28125 Negative: 0.71875,3
Abou Andre,Positive: 0.4 Negative: 0.6,4
Harry's Sandwich Shop,Positive: 0.5714285714285714 Negative: 0.42857142857142855,3
Poag Mahone's,Positive: 0.4523809523809524 Negative: 0.5476190476190477,4
Qdoba Mexican Grill,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
The Great Steak and Potato Company,Positive: 0.0 Negative: 1.0,4
Marquette Inn No 4 Restaurant,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Frontera Fresco,Positive: 0.7857142857142857 Negative: 0.21428571428571427,4
Elephant & Castle,Positive: 0.34375 Negative: 0.65625,3
Villains Bar and Grill,Positive: 0.6153846153846154 Negative: 0.38461538461538464,4
Mista,Positive: 0.6 Negative: 0.4,4
Nesh Mediterranean Grill,Positive: 0.4 Negative: 0.6,2
Chipotle Mexican Grill,Positive: 0.5 Negative: 0.5,4
Hey Sushi,Positive: 0.0 Negative: 1.0,3
Henri,Positive: 0.8695652173913043 Negative: 0.13043478260869565,5
Everest,Positive: 0.6875 Negative: 0.3125,4
Cosi,Positive: 0.2727272727272727 Negative: 0.7272727272727273,3
The Southern Mac & Cheese Store,Positive: 0.47058823529411764 Negative: 0.5294117647058824,4
CaffÃ¨ RÅM,Positive: 0.5454545454545454 Negative: 0.45454545454545453,4
Wine Bar at the Walnut Room,Positive: 0.16666666666666666 Negative: 0.8333333333333334,4
Panda Express,Positive: 0.0 Negative: 1.0,3
Jimmy John's,Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Jimmy John's,Positive: 0.5 Negative: 0.5,4
Florian Opera Bistro,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Petro's Restaurant & Bakery,Positive: 0.0 Negative: 1.0,2
Networks,Positive: 0.0 Negative: 1.0,3
My Thai Restaurant,Positive: 0.34782608695652173 Negative: 0.6521739130434783,3
Potbelly Sandwich Works,Positive: 0.5 Negative: 0.5,4
Max's Take Out,Positive: 0.8 Negative: 0.2,5
Jimmy John's,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
O'Briens Riverwalk Cafe,Positive: 0.0625 Negative: 0.9375,2
Potbelly's Sandwich Works,Positive: 0.75 Negative: 0.25,5
Garden Village Deli,Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Lai Lai & Korean Express,Positive: 0.0 Negative: 1.0,3
Haifa Cafe,Positive: 0.0 Negative: 1.0,3
Snuggery Union Train Station,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Potbelly,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
312 Chicago,Positive: 0.40625 Negative: 0.59375,3
Lai Lai Oriental Express,Positive: 0.5 Negative: 0.5,3
Artist's Cafe,Positive: 0.5 Negative: 0.5,3
Skrine Chops,Positive: 0.8 Negative: 0.2,4
Jimmy Green's,Positive: 0.7241379310344828 Negative: 0.27586206896551724,4
Yelp! Office Hours @ Lunch Rolls,Positive: 0.6 Negative: 0.4,5
Frietkoten Belgian Fries and Beer,Positive: 0.0 Negative: 1.0,2
Lunch Rolls,Positive: 0.5 Negative: 0.5,4
The Bongo Room,Positive: 0.726775956284153 Negative: 0.273224043715847,4
Jimmy John's,Positive: 0.0 Negative: 1.0,3
McDonald's,Positive: 0.0 Negative: 1.0,2
Chipotle Mexican Grill,Positive: 0.9333333333333333 Negative: 0.06666666666666667,4
Pazzo's Express,Positive: 0.5 Negative: 0.5,4
N9NE Steakhouse,Positive: 0.6481481481481481 Negative: 0.35185185185185186,4
Freshii,Positive: 0.38461538461538464 Negative: 0.6153846153846154,3
Hannah's Bretzel,Positive: 0.7159090909090909 Negative: 0.2840909090909091,4
Filini,Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Stetson's Chop House & Bar,Positive: 0.75 Negative: 0.25,4
The Park Shoppe,Positive: 0.0 Negative: 1.0,3
Tortas Frontera by Rick Bayless,Positive: 0.5 Negative: 0.5,3
Johnny Rockets,Positive: 0.0 Negative: 1.0,2
Pazzo's Cucina Italiana,Positive: 0.0 Negative: 1.0,4
Jimmy John's Gourmet Sandwiches,Positive: 0.5 Negative: 0.5,4
Subway,Positive: 0.25 Negative: 0.75,3
Pittsfield Cafe,Positive: 0.5833333333333334 Negative: 0.4166666666666667,4
Banh Mi Express Sandwiches,Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
South Loop Club,Positive: 0.27586206896551724 Negative: 0.7241379310344828,3
Baba's Village,Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Armand's Pizzeria,Positive: 0.5 Negative: 0.5,3
Pompei Dearborn,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Hot Woks Cool Sushi,Positive: 0.5 Negative: 0.5,5
