RestaurantName,Sentiment Labels,Review Rating
Epic Burger,Positive: 0.57 Negative: 0.43,4
Ara On,Positive: 0.6923076923076923 Negative: 0.3076923076923077,4
Naf Naf Grill,Positive: 0.6 Negative: 0.4,4
Ricobene's,Positive: 0.2 Negative: 0.8,3
La Rosetta,Positive: 0.5555555555555556 Negative: 0.4444444444444444,4
Fish Port,Positive: 0.0 Negative: 1.0,4
Mama Falco Pizza,Positive: 0.5 Negative: 0.5,4
Rudy's Bar & Grille,Positive: 0.5789473684210527 Negative: 0.42105263157894735,4
Freshii,Positive: 0.36 Negative: 0.64,3
Caffe Baci,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Howie's,Positive: 0.0 Negative: 1.0,3
Cr̻pe Bistro,Positive: 0.4473684210526316 Negative: 0.5526315789473685,4
Hannah's Bretzel,Positive: 0.6904761904761905 Negative: 0.30952380952380953,4
Cibo Matto,Positive: 0.5185185185185185 Negative: 0.48148148148148145,4
Sbarro,Positive: 0.5 Negative: 0.5,3
Pizano's Pizza,Positive: 0.5846153846153846 Negative: 0.4153846153846154,4
Subway,Positive: 0.0 Negative: 1.0,3
Roly Poly Sandwiches,Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Park Grill,Positive: 0.44594594594594594 Negative: 0.5540540540540541,4
Maxim's Restaurant,Positive: 0.2727272727272727 Negative: 0.7272727272727273,3
Johnny Rockets,Positive: 0.16666666666666666 Negative: 0.8333333333333334,2
Pedersen Room,Positive: 0.5 Negative: 0.5,4
Tokyo Lunch Boxes & Catering,Positive: 0.5294117647058824 Negative: 0.47058823529411764,4
Pret A Manger,Positive: 0.5 Negative: 0.5,5
Weather Mark Tavern,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Wall Street Deli,Positive: 0.5 Negative: 0.5,5
Potbelly Sandwich Works,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Pittsfield Cafe,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Osaka Express,Positive: 0.6444444444444445 Negative: 0.35555555555555557,4
Au Bon Pain,Positive: 0.0 Negative: 1.0,2
Taco Fresco,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Oodles Of Noodles,Positive: 0.0 Negative: 1.0,3
The Berghoff Restaurant,Positive: 0.603448275862069 Negative: 0.39655172413793105,4
Cosi,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Corner Bakery Cafe,Positive: 0.0 Negative: 1.0,3
